id,interest_1,interest_2,preference,suggested_field,degree_options,career_paths
53,Biology,Space,Practical,Space Medicine,"MBBS + Space Medicine Certification, BSc Biology + MSc Space Health","Space Medicine Specialist, Aerospace Physiologist, Biomedical Technician (Space Missions), Health Officer for Astronauts"
54,Biology,Space,Mixed,Life Sciences in Space,"BSc Life Sciences, BTech Biotechnology with Space Biology electives","Space Life Scientist, Bioastronautics Researcher, Environmental Analyst for Space Missions, Biotech Specialist (Space Programs)"
55,Computer,Finance,Theoretical,Financial Computing / Quantitative Finance,"BSc Computer Science, BCom Finance, MSc Quantitative Finance","Quantitative Analyst (Quant), Financial Data Scientist, Fintech Researcher, Algorithmic Trading Strategist"
56,Computer,Finance,Practical,Fintech Development,"BTech Computer Science, BBA Finance, PG Diploma in Fintech","Fintech Software Developer, Blockchain Engineer, Payment System Developer, Finance App Developer"
57,Computer,Finance,Mixed,Financial Technology & Data Analytics,"BSc Fintech & Computer Applications, BTech CS with Finance Minor","Financial Analyst (Tech), Data Analyst (Banking), Risk Model Developer, Business Intelligence Analyst"
58,Computer,Space,Theoretical,Space Data Science / Orbital Simulation,"BSc Computer Science, BSc Space Science, MSc Space Informatics","Space Data Scientist, Simulation Analyst, Orbital Mechanics Programmer, Research Scientist (Aerospace IT)"
59,Computer,Space,Practical,Aerospace Software Engineering,"BTech Computer Science, BTech Aerospace Engineering","Aerospace Software Developer, Satellite Systems Programmer, Embedded Systems Engineer, Avionics Software Engineer"
60,Computer,Space,Mixed,AI & Robotics in Space Technology,"BTech AI & Robotics, BTech Computer Science with Space Tech electives","AI Engineer (Space Missions), Robotics Developer, Space Navigation System Engineer, Mission Control Software Analyst"
61,Finance,Space,Theoretical,Space Economics,"BCom Finance, BSc Space Studies, MSc Space Policy and Economics","Space Economist, Policy Analyst (Space Industry), Researcher in Space Investment and Regulation"
62,Finance,Space,Practical,Financial Management in Aerospace Industry,"BBA Finance, BSc Aerospace Business, MBA with Aerospace Finance Specialization"," Financial Analyst (Aerospace Firms), Project Finance Manager (Satellite Launch), Budget Planner (Space Agencies)"
63,Finance,Space,Mixed,Investment & Risk Analysis in Space Startups,"BSc Finance & Innovation, PGDM in Space Business Management","Space Venture Analyst, Investment Banker (Space Tech), Risk Manager, Business Consultant for Space Enterprises"
64,Maths,Coding,Practical,Engineering,"B E, B Tech",Software Engineeror Developer
65,Kannada,History,theoretical,Bachelor of arts,"B A, B Com","Teacher , writer"
66,Maths,Computer,Practical,Engineering,"B E, B Tech","Software Engineer or Developer, Data Analyst"
67,Maths,Computational,Practical,Bachelor of commerce,"B Com  , B B A","business analyst, financial analyst"
68,biology,Chemistry,Practical,NEET,B sc,Doctor
